player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Jordan",-UdhjxfUhP,2024-03-18T19:07:15.948Z,,20000,,23000,3000
"alex",epqoTmJr1J,2024-03-18T19:07:15.946Z,,20000,,27020,7020
"Hello World",YresSmD3c5,2024-03-18T19:07:15.944Z,,20000,,9980,-10020
